fly,neuron,absolute_prominence,prominence_multiplier,spikes,r150,peak_abs_lag_ms,peak_abs_r
a2_d_14,a2_r,7.5,1,16208,0.34544281383316044,170,0.3505488441858889
a2_d_14,a2_r,9.375,1.25,15170,0.34692799202318253,170,0.3518807213100118
a2_d_14,a2_r,11.25,1.5,14924,0.33677801542476493,170,0.34165753802097
a2_d_14,a2_r,15.0,2,12044,0.2798958449342496,170,0.28510788170675244
a2_d_14,a2_r,18.75,2.5,3571,0.17432360109077882,160,0.17541716138722865
a1_d_07,a1_l,4.3125,0.75,47151,-0.24242137758466517,170,-0.2440232268269485
a1_d_07,a1_l,5.75,1,46004,-0.25174939016598086,170,-0.2533578986458799
a1_d_07,a1_l,7.1875,1.25,45602,-0.2554400856733246,160,-0.25688958142419194
a1_d_07,a1_r,4.3125,0.75,37976,0.13983057413329303,150,0.13983057413329303
a1_d_07,a1_r,5.75,1,35995,0.15486993686103495,150,0.15486993686103495
a1_d_07,a1_r,7.1875,1.25,35128,0.16088193800562425,150,0.16088193800562425
a1_d_09,a1_l,4.3125,0.75,44065,-0.23538870539999507,150,-0.23538870539999507
a1_d_09,a1_l,5.75,1,22089,-0.21289104523918218,150,-0.21289104523918218
a1_d_09,a1_l,7.1875,1.25,12087,-0.17589037921288272,140,-0.17598028290678489
a1_d_09,a1_r,4.3125,0.75,86821,0.3444629634761135,160,0.34492406179566637
a1_d_09,a1_r,5.75,1,81364,0.34660175539564664,160,0.34714449786022217
a1_d_09,a1_r,7.1875,1.25,62056,0.3234364656448307,160,0.3235539402144435
a1_a2_d_04,a2_l,5.625,0.75,49922,-0.27455322281745825,160,-0.27566924509480206
a1_a2_d_04,a2_l,7.5,1,40070,-0.2988914300890925,160,-0.29976012622166304
a1_a2_d_04,a2_l,9.375,1.25,38286,-0.30097260449197083,160,-0.3017545690307635
a1_a2_d_04,a2_l,11.25,1.5,35993,-0.2961716454321762,160,-0.2969001234938117
a1_a2_d_04,a2_l,15.0,2,17124,-0.2632833953087593,150,-0.2632833953087593
a1_a2_d_04,a2_l,18.75,2.5,3642,-0.20440814059287746,130,-0.2059418985050219
a1_a2_d_04,a1_l,4.3125,0.75,56065,-0.14853384484910911,130,-0.1503926261513753
a1_a2_d_04,a1_l,5.75,1,38671,-0.17456397554303685,110,-0.17992002415731123
a1_a2_d_04,a1_l,7.1875,1.25,32097,-0.17989963535619888,110,-0.18794844095241264
