condition,joint,window_samples,stimulus_mean_deg,control_mean_deg,n_flies,mean_deg,median_deg,sd_deg,sem_deg,min_deg,max_deg
loaded,CoFe,30,2.41243499211,0.770021266676,7,1.64241372543,0.862575383197,2.78232123796,1.05161858045,-1.47181573069,5.79346134149
loaded,CoFe,60,2.51017455636,0.498045924278,7,2.01212863208,1.48716148411,2.70747365625,1.02332885367,-1.60030066154,6.35760536472
loaded,CoFe,90,2.44456254651,0.372485458941,7,2.07207708757,1.6013363761,2.5010302551,0.94530058235,-1.67905249686,5.91389140471
loaded,FeTi,30,-4.15051955338,0.183791582035,7,-4.33431113541,-2.47388241934,5.34604407401,2.02061473112,-13.5302704593,2.68110309169
loaded,FeTi,60,-4.34729281807,0.283689367924,7,-4.630982186,-2.46121877263,5.05048504205,1.90890391736,-13.1040061632,1.52657638906
loaded,FeTi,90,-4.24495614161,0.10916919756,7,-4.35412533917,-2.29721149143,4.65834440201,1.760688687,-12.2637031022,1.06477958441
unloaded,CoFe,30,7.41899237142,-0.414042764836,4,7.83303513626,9.18807260036,5.28427270847,2.64213635423,0.426613784499,12.5293815598
unloaded,CoFe,60,8.90027133842,-0.367539622994,4,9.26781096141,10.8960553891,7.01459056576,3.50729528288,-0.360340385153,15.6394734526
unloaded,CoFe,90,8.70597831518,-0.481881985017,4,9.1878603002,11.2550686163,6.95439561222,3.47719780611,-0.529640888976,14.7709448571
unloaded,FeTi,30,-19.963537242,-3.75051897603,4,-16.213018266,-12.4918648352,17.2547119839,8.62735599196,-40.3273690297,0.4590256362
unloaded,FeTi,60,-20.9224053746,-2.81440649468,4,-18.10799888,-11.746302677,22.3327714095,11.1663857047,-50.2608626656,1.32147249975
unloaded,FeTi,90,-24.1753994486,-2.08199909345,4,-22.0934003552,-16.8960497988,24.5943116162,12.2971558081,-56.2641397589,1.6826379357
