condition,joint,stimulus_mean_deg,control_mean_deg,n_flies,mean_deg,median_deg,sd_deg,sem_deg,min_deg,max_deg
loaded,CoFe,1.56279286066,1.47208810694,6,0.0907047537197,-0.437893405949,1.61163559292,0.657947475661,-1.45032180613,2.13896325935
loaded,FeTi,5.26513284999,0.3249045614,6,4.94022828859,0.921386680173,10.5844695924,4.32109161657,-2.09557100341,26.1550937844
loaded,TiTa,4.61904850477,0.350144883139,6,4.26890362163,3.71401292785,3.70622314066,1.51305926125,0.815840142329,10.9467961431
unloaded,CoFe,3.50516663015,0.616587786747,6,2.8885788434,1.06956742906,6.58011157912,2.68631930324,-2.45313301707,15.6521293059
unloaded,FeTi,8.2119348437,3.11325428923,6,5.09868055447,0.448541730951,15.5589974333,6.35193410346,-7.39538747064,36.0731263206
unloaded,TiTa,-0.416147956166,0.288156181546,6,-0.704304137712,-0.333533827502,1.93417165572,0.789622271909,-4.12453201724,1.37437476808
