fly,prominence,source_notebook_example,main_file_eligible,difference_r150,sum_r150,left_r150,right_r150,difference_peak_abs_lag_ms,difference_peak_abs_r,method_version
a2_d_08,5.625,False,True,-0.34436233857148624,-0.02463307125265527,-0.19651298761912803,0.18002078379588632,190,-0.3663885008671891,epoch-isolated-sensitivity/v2
a2_d_08,7.5,False,True,-0.37966585475298054,-0.03062002565816584,-0.23527109787018774,0.23458528582683266,180,-0.3969442329429274,epoch-isolated-sensitivity/v2
a2_d_08,9.375,False,True,-0.38433670962096683,-0.034073086434026366,-0.24365918274152967,0.25068052669267604,180,-0.4007993489716752,epoch-isolated-sensitivity/v2
a2_d_08,11.25,False,True,-0.3854826902170304,-0.032861449841449134,-0.2440616284741436,0.2526511231259222,180,-0.4021253718374447,epoch-isolated-sensitivity/v2
a2_d_08,15.0,True,True,-0.37256718757104273,0.007585866556027089,-0.23141784795525433,0.24916759520107643,180,-0.3832960877913208,epoch-isolated-sensitivity/v2
a2_d_08,18.75,False,True,-0.3026473508480492,0.08375060212122071,-0.17716390178211242,0.22972138558348038,160,-0.30465687460041446,epoch-isolated-sensitivity/v2
a2_d_12,5.625,False,True,-0.7035893775320137,0.02166288608776652,-0.45547477055726754,0.48634871924361245,170,-0.7159879730984516,epoch-isolated-sensitivity/v2
a2_d_12,7.5,False,True,-0.7119838534002212,0.036666630158649724,-0.4687802352988456,0.5185950804417025,170,-0.724853978549763,epoch-isolated-sensitivity/v2
a2_d_12,9.375,False,True,-0.7096221453974471,0.052756794904675296,-0.4637476451657237,0.5229293503491158,170,-0.7222590288467853,epoch-isolated-sensitivity/v2
a2_d_12,11.25,False,True,-0.6939790282022961,0.08814411820030714,-0.4466696004903579,0.5203501634646562,170,-0.7060057461951997,epoch-isolated-sensitivity/v2
a2_d_12,15.0,True,True,-0.6168393751786221,0.2322048638730568,-0.3514383202816555,0.4969015159285517,170,-0.6264170938730923,epoch-isolated-sensitivity/v2
a2_d_12,18.75,False,True,-0.45447457396454244,0.3458749177953918,-0.1988992116663629,0.41538924995146376,170,-0.45789185895880985,epoch-isolated-sensitivity/v2
a2_d_13,5.625,False,True,-0.2651560670897115,0.068705016606791,-0.09944024192939699,0.18212375338958056,170,-0.27142842823335916,epoch-isolated-sensitivity/v2
a2_d_13,7.5,False,True,-0.2957955219966956,0.09755243589462063,-0.1393963178743936,0.2198811949473661,170,-0.3027893202687747,epoch-isolated-sensitivity/v2
a2_d_13,9.375,False,True,-0.3111628951009845,0.12613093049080593,-0.14777436386170503,0.24681965339590853,170,-0.31948712918137845,epoch-isolated-sensitivity/v2
a2_d_13,11.25,False,True,-0.3220701240626066,0.13552982310256703,-0.1595517947522123,0.2572974433707122,170,-0.3295004422568107,epoch-isolated-sensitivity/v2
a2_d_13,15.0,True,True,-0.3327643287609472,0.13915223747075825,-0.1695921032045184,0.26507308808351693,170,-0.34032202084340113,epoch-isolated-sensitivity/v2
a2_d_13,18.75,False,True,-0.33350546018734883,0.13805199803291573,-0.16971181594812382,0.2655358879728103,170,-0.34103632019380314,epoch-isolated-sensitivity/v2
a2_d_14,5.625,False,False,-0.42557779140367086,0.10588921030466046,-0.19449300731004132,0.31731671741702067,160,-0.42802610047921485,epoch-isolated-sensitivity/v2
a2_d_14,7.5,False,False,-0.49082686701715456,0.09960633954024901,-0.25663820979582047,0.34544281383316044,160,-0.49405292170619625,epoch-isolated-sensitivity/v2
a2_d_14,9.375,False,False,-0.502775884394275,0.09484061631035945,-0.28655026188399113,0.34692799202318253,160,-0.5062106107194471,epoch-isolated-sensitivity/v2
a2_d_14,11.25,False,False,-0.49781944919601495,0.08279694028505982,-0.2907984924678376,0.33677801542476493,160,-0.5012471500050607,epoch-isolated-sensitivity/v2
a2_d_14,15.0,True,False,-0.46708027242705824,0.006264007513540894,-0.28900422443864654,0.2798958449342496,160,-0.47053480124118185,epoch-isolated-sensitivity/v2
a2_d_14,18.75,False,False,-0.36794014845574596,-0.12948766554608027,-0.2743237701079106,0.17432360109077882,160,-0.368772066705567,epoch-isolated-sensitivity/v2
