fly,file,file_id,author_quality_flag,author_reference_eligible,status,analysis_status,processing_status,expected_channels,expected_pair_series,reasons,source_md5_verified,mat_fields,source_clock_resets,epoch_durations_s,time_coordinate,ephys_hz,ball_hz,available_ephys_s,analyzed_s,start_s,end_s,bins,author_spike_arrays,neurons,fwd_lat_raw_exact_equal_fraction,stim_bin_fraction,stim_unknown_bin_fraction,stim_unknown_bins,valid_no_stim_s,stim_min,stim_max,record_complete,observed_channels,numerically_valid_channels,observed_pair_series,numerically_valid_pair_series,expected_channel_count,observed_channel_count,expected_pair_count,observed_pair_count,reason,processing_seconds,analysis_complete,main_summary_eligible
a2_s_03,161208_lexAOpCsChrimson_gfp_83blexA_ss730_03_data_for_SH_with_lat_vel.mat,11634643,,True,usable,usable,completed,"[""a2_l""]",[],[],True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,1900.0,source_seconds,4000,100,1900.0,1899.98,0.01,1899.99,189998,absent,a2_l,0.0,0.044289939894104145,0.0,0,1757.08,0.0,5.0,True,"[""a2_l""]","[""a2_l""]",[],[],1,1,0,0,all_required_outputs_numerically_valid,2.108370065689087,True,True
a2_s_04,161208_lexAOpCsChrimson_gfp_83blexA_ss730_04_data_for_SH_with_lat_vel.mat,11634644,,True,usable,usable,completed,"[""a2_l""]",[],[],True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2346.0,source_seconds,4000,100,2346.0,2345.98,0.01,2345.9900000000002,234598,absent,a2_l,0.0,0.044348204162013315,0.0,0,2169.54,0.0,5.0,True,"[""a2_l""]","[""a2_l""]",[],[],1,1,0,0,all_required_outputs_numerically_valid,2.833014965057373,True,True
a2_s_05,161208_lexAOpCsChrimson_gfp_83blexA_ss730_05_data_for_SH_with_lat_vel.mat,11634645,,True,usable,usable,completed,"[""a2_l""]",[],[],True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,1740.0,source_seconds,4000,100,1740.0,1739.98,0.01,1739.99,173998,absent,a2_l,0.0,0.04454648904010391,0.0,0,1609.02,0.0,5.0,True,"[""a2_l""]","[""a2_l""]",[],[],1,1,0,0,all_required_outputs_numerically_valid,1.9011147022247314,True,True
a2_s_06,161210_lexAOpCsChrimson_gfp_83blexA_ss730_06_data_for_SH_with_lat_vel.mat,11634646,,True,usable,usable,completed,"[""a2_l""]",[],[],True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,1882.0,source_seconds,4000,100,1882.0,1881.98,0.01,1881.99,188198,absent,a2_l,0.0,0.044442555181245284,0.0,0,1739.94,0.0,5.0,True,"[""a2_l""]","[""a2_l""]",[],[],1,1,0,0,all_required_outputs_numerically_valid,2.178798198699951,True,True
a1_s_02,161218_lexAOpCsChrimson_gfp_83blexA_ss731_02_data_for_SH_with_lat_vel.mat,11634632,,True,usable,usable,completed,"[""a1_l""]",[],[],True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,3000.0,source_seconds,4000,100,3000.0,2999.98,0.01,2999.9900000000002,299998,absent,a1_l,0.28469333333333335,0.044370295801972014,0.0,0,2774.52,0.0,5.0,True,"[""a1_l""]","[""a1_l""]",[],[],1,1,0,0,all_required_outputs_numerically_valid,3.329007863998413,True,True
a1_s_05,170721_lexAOpCsChrimson_gfp_83blexA_ss731_05_data_for_SH_with_lat_vel.mat,11634634,,True,usable,usable,completed,"[""a1_l""]",[],[],True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2829.0,source_seconds,4000,100,2829.0,2828.98,0.01,2828.9900000000002,282898,absent,a1_l,0.562237539766702,0.044348139612157035,0.0,0,2616.42,0.0,5.0,True,"[""a1_l""]","[""a1_l""]",[],[],1,1,0,0,all_required_outputs_numerically_valid,3.050307273864746,True,True
a1_s_08,170726_lexAOpCsChrimson_gfp_83blexA_ss731_08_data_for_SH_with_lat_vel.mat,11634637,,True,usable,usable,completed,"[""a1_l""]",[],[],True,ball_SR;ephys_A;ephys_SR;fwd;fwd_old;lat;lat_old;stim;t_ball;t_ephys;yaw;yaw_old,0,1656.0,source_seconds,4000,100,1656.0,1655.98,0.01,1655.99,165598,absent,a1_l,0.0,0.044348361695189555,0.0,0,1531.14,0.0,5.0,True,"[""a1_l""]","[""a1_l""]",[],[],1,1,0,0,all_required_outputs_numerically_valid,1.5333890914916992,True,True
a1_s_03,170802_gfp_ss731_03_data_for_SH_with_lat_vel.mat,11634633,,True,usable,usable,completed,"[""a1_l""]",[],[],True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2875.0,source_seconds,4000,100,2875.0,2874.98,0.01,2874.9900000000002,287498,absent,a1_l,0.5121391304347827,0.0,0.0,0,2873.98,0.0,0.0,True,"[""a1_l""]","[""a1_l""]",[],[],1,1,0,0,all_required_outputs_numerically_valid,3.2561981678009033,True,True
a1_s_06,170803_gfp_ss731_06_data_for_SH_with_lat_vel.mat,11634635,,True,usable,usable,completed,"[""a1_l""]",[],[],True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2875.0,source_seconds,4000,100,2875.0,2874.98,0.01,2874.9900000000002,287498,absent,a1_l,0.5725634782608696,0.0,0.0,0,2873.98,0.0,0.0,True,"[""a1_l""]","[""a1_l""]",[],[],1,1,0,0,all_required_outputs_numerically_valid,3.2537930011749268,True,True
a1_s_07,170803_gfp_ss731_07_data_for_SH_with_lat_vel.mat,11634636,,True,usable,usable,completed,"[""a1_l""]",[],[],True,ball_SR;ephys_A;ephys_SR;fwd;lat;stim;t_ball;t_ephys;yaw,0,2760.0,source_seconds,4000,100,2760.0,2759.98,0.01,2759.9900000000002,275998,absent,a1_l,0.579481884057971,0.0,0.0,0,2758.98,0.0,0.0,True,"[""a1_l""]","[""a1_l""]",[],[],1,1,0,0,all_required_outputs_numerically_valid,3.0657339096069336,True,True
