threshold,bodyId,preIsNeuron,preType,preInstance,preSuperclass,preSubclass,preSomaSide,preSomaNeuromere,prePredictedNt,prePredictedNtConfidence,preConsensusNt,preStatus,preStatusLabel,source_class,is_motor_source,primary_candidate_t10,group_count,target_group_ids,selected_motor_weight,selected_motor_edge_count,all_815_motor_weight_at_threshold,all_815_motor_weight_raw,all_815_motor_target_count_at_threshold,all_815_motor_target_count_raw,selected_fraction_of_815_motor_weight_at_threshold,selected_fraction_of_815_motor_weight_raw,largest_group_weight_share_within_selected,breadth_category,leg_count,nonleg_group_count,target_legs,has_same_leg_same_joint_pair,has_same_leg_knee_root_pair,has_multiple_legs,has_leg_and_nonleg,group_count_t1,selected_motor_weight_t1,group_count_t3,selected_motor_weight_t3,group_count_t5,selected_motor_weight_t5,group_count_t10,selected_motor_weight_t10,weight_retention_t10_over_t1,dataset,entity_id,compact_ref,target_parts,target_group_pairs,target_pair_relation_counts,display_repeated14_target_ids,display_repeated14_target_weight_t10,classification_state,previous_full_io,selected_additional,selection_reasons,selection_track,full_io_state,physiology_link_state,functional_role_state
10,807503,True,IN13A027,IN13A027_R,vnc_intrinsic,IR,R,T1,gaba,0.8903642892837524,gaba,Traced,Reviewed,neuron_nonmotor,False,True,2,T1R:knee_extensor|T1R:root_promotor,203,5,203,228,5,13,1.0,0.8903508771929824,0.8719211822660099,same_leg_knee_root,1,0,T1R,False,True,False,False,3,216,3,215,3,211,2,203,0.9398148148148148,male-cns:v1.0,male-cns:v1.0:807503,IN13A027・807503,"[""T1R""]","[{""group_a"":""T1R:knee_extensor"",""group_b"":""T1R:root_promotor"",""relation"":""same_leg_knee_root""}]","{""same_leg_knee_root"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807508,True,IN13A054,IN13A054_L,vnc_intrinsic,IR,L,T2,gaba,0.9076531529426575,gaba,Traced,Reviewed,neuron_nonmotor,False,True,2,T2L:root_pra|T2L:root_spr,172,6,197,206,7,11,0.8730964467005076,0.8349514563106796,0.6104651162790697,same_leg_same_joint,1,0,T2L,True,False,False,False,2,172,2,172,2,172,2,172,1.0,male-cns:v1.0,male-cns:v1.0:807508,IN13A054・807508,"[""T2L""]","[{""group_a"":""T2L:root_pra"",""group_b"":""T2L:root_spr"",""relation"":""same_leg_same_joint""}]","{""same_leg_same_joint"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807520,True,IN20A.22A030,IN20A.22A030_R,vnc_intrinsic,IR,R,T3,acetylcholine,0.9641410708427429,acetylcholine,Traced,Reviewed,neuron_nonmotor,False,True,2,T3R:knee_flexor|T3R:root_sar,29,2,234,304,9,30,0.12393162393162394,0.09539473684210527,0.6551724137931034,same_leg_knee_root,1,0,T3R,False,True,False,False,4,65,3,55,3,43,2,29,0.4461538461538462,male-cns:v1.0,male-cns:v1.0:807520,IN20A.22A030・807520,"[""T3R""]","[{""group_a"":""T3R:knee_flexor"",""group_b"":""T3R:root_sar"",""relation"":""same_leg_knee_root""}]","{""same_leg_knee_root"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807522,True,IN08B092,IN08B092_R,vnc_intrinsic,BI,R,T3,acetylcholine,0.9712499380111694,acetylcholine,Traced,Reviewed,neuron_nonmotor,False,True,2,T3L:root_pra|T3L:root_spr,30,2,50,139,3,29,0.6,0.2158273381294964,0.5,same_leg_same_joint,1,0,T3L,True,False,False,False,7,83,5,74,5,63,2,30,0.3614457831325301,male-cns:v1.0,male-cns:v1.0:807522,IN08B092・807522,"[""T3L""]","[{""group_a"":""T3L:root_pra"",""group_b"":""T3L:root_spr"",""relation"":""same_leg_same_joint""}]","{""same_leg_same_joint"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807529,True,IN06B087,IN06B087_R,vnc_intrinsic,BI,R,T2,gaba,0.8276327252388,gaba,Traced,Reviewed,neuron_nonmotor,False,True,2,wing_b1|wing_b2,117,4,187,207,7,13,0.6256684491978609,0.5652173913043478,0.6068376068376068,nonleg_only,0,2,,False,False,False,False,2,117,2,117,2,117,2,117,1.0,male-cns:v1.0,male-cns:v1.0:807529,IN06B087・807529,"[""wing""]","[{""group_a"":""wing_b1"",""group_b"":""wing_b2"",""relation"":""nonleg_pair""}]","{""nonleg_pair"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807544,True,IN03A046,IN03A046_L,vnc_intrinsic,,L,T1,acetylcholine,0.9589968323707581,acetylcholine,Traced,Reviewed,neuron_nonmotor,False,True,2,T1L:root_pra|T1L:root_spr,159,3,169,176,4,10,0.9408284023668639,0.9034090909090909,0.5283018867924528,same_leg_same_joint,1,0,T1L,True,False,False,False,4,163,2,159,2,159,2,159,0.9754601226993865,male-cns:v1.0,male-cns:v1.0:807544,IN03A046・807544,"[""T1L""]","[{""group_a"":""T1L:root_pra"",""group_b"":""T1L:root_spr"",""relation"":""same_leg_same_joint""}]","{""same_leg_same_joint"":1}","[""802509"",""803803""]",84,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807556,True,IN21A049,IN21A049_R,vnc_intrinsic,IR,R,T3,glutamate,0.7394924759864807,glutamate,Traced,Reviewed,neuron_nonmotor,False,True,2,T3R:knee_flexor|T3R:root_sar,76,2,395,432,7,17,0.19240506329113924,0.17592592592592593,0.5394736842105263,same_leg_knee_root,1,0,T3R,False,True,False,False,2,95,2,94,2,91,2,76,0.8,male-cns:v1.0,male-cns:v1.0:807556,IN21A049・807556,"[""T3R""]","[{""group_a"":""T3R:knee_flexor"",""group_b"":""T3R:root_sar"",""relation"":""same_leg_knee_root""}]","{""same_leg_knee_root"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807557,True,IN08A028,IN08A028_R,vnc_intrinsic,IR,R,T3,glutamate,0.7912208437919617,glutamate,Traced,Reviewed,neuron_nonmotor,False,True,2,T3R:root_pra|T3R:root_sar,43,2,67,102,3,13,0.6417910447761194,0.4215686274509804,0.5116279069767442,same_leg_same_joint,1,0,T3R,True,False,False,False,4,53,4,49,2,43,2,43,0.8113207547169812,male-cns:v1.0,male-cns:v1.0:807557,IN08A028・807557,"[""T3R""]","[{""group_a"":""T3R:root_pra"",""group_b"":""T3R:root_sar"",""relation"":""same_leg_same_joint""}]","{""same_leg_same_joint"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807558,True,GFC3,GFC3_L,vnc_intrinsic,,L,T2,acetylcholine,0.9664524793624878,acetylcholine,Traced,Reviewed,neuron_nonmotor,False,True,2,T3L:knee_flexor|T3L:root_spr,85,5,85,110,5,15,1.0,0.7727272727272727,0.7294117647058823,same_leg_knee_root,1,0,T3L,False,True,False,False,4,96,2,94,2,94,2,85,0.8854166666666666,male-cns:v1.0,male-cns:v1.0:807558,GFC3・807558,"[""T3L""]","[{""group_a"":""T3L:knee_flexor"",""group_b"":""T3L:root_spr"",""relation"":""same_leg_knee_root""}]","{""same_leg_knee_root"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807580,True,IN07B086,IN07B086_R,vnc_intrinsic,BI,R,A1,acetylcholine,0.9722007513046265,acetylcholine,Traced,Reviewed,neuron_nonmotor,False,True,2,wing_b1|wing_b2,97,2,321,364,9,20,0.30218068535825543,0.2664835164835165,0.6082474226804123,nonleg_only,0,2,,False,False,False,False,3,99,2,97,2,97,2,97,0.9797979797979798,male-cns:v1.0,male-cns:v1.0:807580,IN07B086・807580,"[""wing""]","[{""group_a"":""wing_b1"",""group_b"":""wing_b2"",""relation"":""nonleg_pair""}]","{""nonleg_pair"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807589,True,IN03A073,IN03A073_R,vnc_intrinsic,IR,R,T2,acetylcholine,0.9692085385322571,acetylcholine,Traced,Reviewed,neuron_nonmotor,False,True,2,T2R:knee_flexor|T2R:root_pra,27,2,45,105,3,17,0.6,0.2571428571428571,0.6296296296296297,same_leg_knee_root,1,0,T2R,False,True,False,False,2,62,2,57,2,57,2,27,0.43548387096774194,male-cns:v1.0,male-cns:v1.0:807589,IN03A073・807589,"[""T2R""]","[{""group_a"":""T2R:knee_flexor"",""group_b"":""T2R:root_pra"",""relation"":""same_leg_knee_root""}]","{""same_leg_knee_root"":1}","[""800776""]",10,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807593,True,IN13A062,IN13A062_L,vnc_intrinsic,,L,T2,gaba,0.8945795297622681,gaba,Traced,Reviewed,neuron_nonmotor,False,True,2,T2L:root_pra|T2L:root_spr,352,6,394,402,7,11,0.8934010152284264,0.8756218905472637,0.8409090909090909,same_leg_same_joint,1,0,T2L,True,False,False,False,2,352,2,352,2,352,2,352,1.0,male-cns:v1.0,male-cns:v1.0:807593,IN13A062・807593,"[""T2L""]","[{""group_a"":""T2L:root_pra"",""group_b"":""T2L:root_spr"",""relation"":""same_leg_same_joint""}]","{""same_leg_same_joint"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807619,True,"IN11A015,IN11A027","IN11A015,IN11A027_L",vnc_intrinsic,,L,T2,acetylcholine,0.9718059301376343,acetylcholine,Traced,Reviewed,neuron_nonmotor,False,True,2,T3L:knee_flexor|T3L:root_spr,51,3,81,115,5,12,0.6296296296296297,0.4434782608695652,0.6666666666666666,same_leg_knee_root,1,0,T3L,False,True,False,False,5,84,4,82,3,75,2,51,0.6071428571428571,male-cns:v1.0,male-cns:v1.0:807619,"IN11A015,IN11A027・807619","[""T3L""]","[{""group_a"":""T3L:knee_flexor"",""group_b"":""T3L:root_spr"",""relation"":""same_leg_knee_root""}]","{""same_leg_knee_root"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807658,True,IN03A077,IN03A077_L,vnc_intrinsic,IR,L,T3,acetylcholine,0.9587180018424988,acetylcholine,Traced,Reviewed,neuron_nonmotor,False,True,2,T3L:root_sad|T3L:root_spr,47,3,62,90,4,11,0.7580645161290323,0.5222222222222223,0.7659574468085106,same_leg_same_joint,1,0,T3L,True,False,False,False,4,62,3,60,2,56,2,47,0.7580645161290323,male-cns:v1.0,male-cns:v1.0:807658,IN03A077・807658,"[""T3L""]","[{""group_a"":""T3L:root_sad"",""group_b"":""T3L:root_spr"",""relation"":""same_leg_same_joint""}]","{""same_leg_same_joint"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807660,True,IN03B061,IN03B061_R,vnc_intrinsic,II,R,T2,gaba,0.7793290019035339,gaba,Traced,Reviewed,neuron_nonmotor,False,True,2,wing_b1|wing_b2,111,2,111,121,2,5,1.0,0.9173553719008265,0.6396396396396397,nonleg_only,0,2,,False,False,False,False,2,111,2,111,2,111,2,111,1.0,male-cns:v1.0,male-cns:v1.0:807660,IN03B061・807660,"[""wing""]","[{""group_a"":""wing_b1"",""group_b"":""wing_b2"",""relation"":""nonleg_pair""}]","{""nonleg_pair"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807674,True,IN20A.22A051,IN20A.22A051_R,vnc_intrinsic,,R,T3,acetylcholine,0.9710934162139893,acetylcholine,Traced,Reviewed,neuron_nonmotor,False,True,2,T3R:root_pra|T3R:root_sar,38,3,392,413,11,22,0.09693877551020408,0.09200968523002422,0.7368421052631579,same_leg_same_joint,1,0,T3R,True,False,False,False,5,43,3,41,2,38,2,38,0.8837209302325582,male-cns:v1.0,male-cns:v1.0:807674,IN20A.22A051・807674,"[""T3R""]","[{""group_a"":""T3R:root_pra"",""group_b"":""T3R:root_sar"",""relation"":""same_leg_same_joint""}]","{""same_leg_same_joint"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807685,True,IN08A032,IN08A032_L,vnc_intrinsic,,L,T2,glutamate,0.8326361179351807,glutamate,Traced,Reviewed,neuron_nonmotor,False,True,2,T2L:root_pra|T2L:root_spr,213,6,289,292,8,10,0.7370242214532872,0.7294520547945206,0.5774647887323944,same_leg_same_joint,1,0,T2L,True,False,False,False,2,213,2,213,2,213,2,213,1.0,male-cns:v1.0,male-cns:v1.0:807685,IN08A032・807685,"[""T2L""]","[{""group_a"":""T2L:root_pra"",""group_b"":""T2L:root_spr"",""relation"":""same_leg_same_joint""}]","{""same_leg_same_joint"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
10,807700,True,IN03A069,IN03A069_L,vnc_intrinsic,,L,T1,acetylcholine,0.9721770286560059,acetylcholine,Traced,Reviewed,neuron_nonmotor,False,True,2,T1L:knee_extensor|T1L:root_promotor,151,4,151,160,4,8,1.0,0.94375,0.5629139072847682,same_leg_knee_root,1,0,T1L,False,True,False,False,3,156,2,154,2,151,2,151,0.967948717948718,male-cns:v1.0,male-cns:v1.0:807700,IN03A069・807700,"[""T1L""]","[{""group_a"":""T1L:knee_extensor"",""group_b"":""T1L:root_promotor"",""relation"":""same_leg_knee_root""}]","{""same_leg_knee_root"":1}",[],0,complete_saved_t10_scope,False,False,[],not_selected,not_fetched_in_this_study,separate_physiology_dossier_required,not_established_by_connectivity
