bodyId,leg,current_type,current_mancType,mancBodyid,legacy_systematic_type,legacy_target,legacy_exit_nerve,legacy_class,comparison,maleCNS_leg_MN_same_manc_id_count,legacy_source_line,decision
820632,T2L,MNml80,MNml80,17697,MNml80,middle leg,MesoLN_L,motor neuron,both_muscle_unresolved,1,152,retain_as_separate_legacy_correspondence; no_overwrite
822742,T2L,MNml80,MNml80,14775,MNml27,Acc. ti flexor,MesoLN_L,motor neuron,legacy_named_current_unresolved,1,133,retain_as_separate_legacy_correspondence; no_overwrite
1050046221,T2L,MNml80,MNml80,25956,MNml80,middle leg,MesoLN_L,motor neuron,both_muscle_unresolved,2,153,retain_as_separate_legacy_correspondence; no_overwrite
903508,T2L,MNml81,MNml81,13036,MNml81,middle leg,MesoLN_L,motor neuron,both_muscle_unresolved,1,128,retain_as_separate_legacy_correspondence; no_overwrite
803480,T2L,MNml82,MNml82,101909,MNml82,middle leg,MesoLN_L,motor neuron,both_muscle_unresolved,1,221,retain_as_separate_legacy_correspondence; no_overwrite
816018,T2L,Sternal adductor MN,Sternal adductor MN,156233,MNml07,Tr flexor,MesoLN_L,motor neuron,different_joint_or_action,1,228,retain_as_separate_legacy_correspondence; no_overwrite
824041,T2L,Ti flexor MN,Ti flexor MN,14665,MNml27,Acc. ti flexor,MesoLN_L,motor neuron,different_muscle_label_same_mapped_action,1,132,retain_as_separate_legacy_correspondence; no_overwrite
800589,T2L,Tr flexor MN,Tr flexor MN,13817,MNml16,Sternal adductor,MesoLN_L,motor neuron,different_joint_or_action,2,138,retain_as_separate_legacy_correspondence; no_overwrite
802232,T2L,Tr flexor MN,Tr flexor MN,13817,MNml16,Sternal adductor,MesoLN_L,motor neuron,different_joint_or_action,2,138,retain_as_separate_legacy_correspondence; no_overwrite
813603,T2L,ltm MN,ltm MN,17964,MNml79,middle leg,MesoLN_L,motor neuron,current_named_legacy_unresolved,1,179,retain_as_separate_legacy_correspondence; no_overwrite
824689,T2L,ltm MN,ltm MN,17419,MNml15,ltm2-femur,MesoLN_L,motor neuron,long_tendon_location_or_granularity_difference,1,175,retain_as_separate_legacy_correspondence; no_overwrite
825681,T2L,ltm MN,ltm MN,15873,MNml38,ltm1-tibia,MesoLN_L,motor neuron,long_tendon_location_or_granularity_difference,1,158,retain_as_separate_legacy_correspondence; no_overwrite
826996,T2L,ltm2-femur MN,ltm2-femur MN,25447,MNml23,ltm,MesoLN_L,motor neuron,long_tendon_location_or_granularity_difference,1,126,retain_as_separate_legacy_correspondence; no_overwrite
909255,T2R,Acc. ti flexor MN,Acc. ti flexor MN,39941,MNml78,middle leg,MesoLN_R,motor neuron,current_named_legacy_unresolved,1,193,retain_as_separate_legacy_correspondence; no_overwrite
1052521030,T2R,Acc. ti flexor MN,Acc. ti flexor MN,16017,MNml85,middle leg,MesoLN_R,motor neuron,current_named_legacy_unresolved,1,160,retain_as_separate_legacy_correspondence; no_overwrite
867926,T2R,Acc. tr flexor MN,Acc. tr flexor MN,218885,MNml07,Tr flexor,MesoLN_R,motor neuron,different_muscle_label_same_mapped_action,1,229,retain_as_separate_legacy_correspondence; no_overwrite
807395,T2R,MNml29,MNml29,104697,MNml06,Sternal posterior rotator,MesoLN_R,motor neuron,legacy_named_current_unresolved,1,227,retain_as_separate_legacy_correspondence; no_overwrite
1050160593,T2R,MNml76,MNml76,156505,MNml76,middle leg,MesoLN_R,motor neuron,both_muscle_unresolved,1,231,retain_as_separate_legacy_correspondence; no_overwrite
907387,T2R,MNml77,MNml77,30781,MNml78,middle leg,MesoLN_R,motor neuron,both_muscle_unresolved,1,192,retain_as_separate_legacy_correspondence; no_overwrite
814983,T2R,MNml78,MNml78,162868,MNml24,Acc. ti flexor,MesoLN_R,motor neuron,legacy_named_current_unresolved,1,137,retain_as_separate_legacy_correspondence; no_overwrite
817990,T2R,MNml78,MNml78,35950,MNml78,middle leg,MesoLN_R,motor neuron,both_muscle_unresolved,1,194,retain_as_separate_legacy_correspondence; no_overwrite
905559,T2R,MNml79,MNml79,32253,MNml79,middle leg,MesoLN_R,motor neuron,both_muscle_unresolved,1,180,retain_as_separate_legacy_correspondence; no_overwrite
903844,T2R,MNml80,MNml80,15616,MNml80,middle leg,MesoLN_R,motor neuron,both_muscle_unresolved,1,154,retain_as_separate_legacy_correspondence; no_overwrite
905236,T2R,MNml80,MNml80,16497,MNml84,middle leg,MesoLN_R,motor neuron,both_muscle_unresolved,1,165,retain_as_separate_legacy_correspondence; no_overwrite
1050673969,T2R,MNml80,MNml80,18664,MNml27,Acc. ti flexor,MesoLN_R,motor neuron,legacy_named_current_unresolved,1,135,retain_as_separate_legacy_correspondence; no_overwrite
801477,T2R,MNml81,MNml81,14828,MNml81,middle leg,MesoLN_R,motor neuron,both_muscle_unresolved,1,129,retain_as_separate_legacy_correspondence; no_overwrite
800230,T2R,MNml82,MNml82,13746,MNml27,Acc. ti flexor,MesoLN_R,motor neuron,legacy_named_current_unresolved,1,134,retain_as_separate_legacy_correspondence; no_overwrite
820574,T2R,MNml83,MNml83,200065,MNml77,middle leg,MesoLN_R,motor neuron,both_muscle_unresolved,1,225,retain_as_separate_legacy_correspondence; no_overwrite
801813,T2R,Sternal anterior rotator MN,Sternal anterior rotator MN,102786,MNml34,Sternal posterior rotator,MesoLN_R,motor neuron,different_joint_or_action,1,217,retain_as_separate_legacy_correspondence; no_overwrite
801761,T2R,Sternal posterior rotator MN,Sternal posterior rotator MN,12196,MNml29,middle leg,MesoLN_R,motor neuron,current_named_legacy_unresolved,1,123,retain_as_separate_legacy_correspondence; no_overwrite
822013,T2R,Ti flexor MN,Ti flexor MN,162827,MNml86,middle leg,MesoLN_R,motor neuron,current_named_legacy_unresolved,1,232,retain_as_separate_legacy_correspondence; no_overwrite
801058,T2R,Tr flexor MN,Tr flexor MN,10461,MNml41,Ti extensor,MesoLN_R,motor neuron,different_joint_or_action,1,115,retain_as_separate_legacy_correspondence; no_overwrite
