dataset,versioned_body_id,bodyId,type,instance,leg_position_from_subclass,subclass,somaSide,rootSide,somaNeuromere,exitNerve,superclass,mancBodyid,mancType,mancSerial,mcnsSerial,serialMotif,matchingNotes,status,statusLabel,leg,joint,anatomical_action,action_source,muscle_label_available,action_known,muscle_identity_evidence,legacy_targets,legacy_match_count,physiological_action_in_this_cell_measured
male-cns:v1.0,male-cns:v1.0:805598,805598,Fe reductor MN,Fe reductor MN_L,front,fl,L,,T1,ProLN,vnc_motor,21944,Fe reductor MN,,,,,Traced,Reviewed,T1L,trochanter-femur,unknown,Azevedo 2024 Appendix A1 p3; A10 pp29-30,True,False,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Fe reductor,1,False
male-cns:v1.0,male-cns:v1.0:812111,812111,Fe reductor MN,Fe reductor MN_L,front,fl,L,,T1,ProLN,vnc_motor,13920,Fe reductor MN,,,,,Traced,Reviewed,T1L,trochanter-femur,unknown,Azevedo 2024 Appendix A1 p3; A10 pp29-30,True,False,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Fe reductor,1,False
male-cns:v1.0,male-cns:v1.0:814163,814163,Fe reductor MN,Fe reductor MN_L,front,fl,L,,T1,ProLN,vnc_motor,14949,Fe reductor MN,14949.0,,,,Traced,Reviewed,T1L,trochanter-femur,unknown,Azevedo 2024 Appendix A1 p3; A10 pp29-30,True,False,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Fe reductor,1,False
male-cns:v1.0,male-cns:v1.0:802509,802509,Pleural remotor/abductor MN,Pleural remotor/abductor MN_L,front,fl,L,,T1,ProAN,vnc_motor,12096,Pleural remotor/abductor MN,12096.0,800776.0,,,Traced,Reviewed,T1L,thorax-coxa,coxa_posterior_and_lateral_movement,Azevedo 2024 Appendix A1 p2; A4 pp18-19,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Pleural remotor/abductor,1,False
male-cns:v1.0,male-cns:v1.0:803803,803803,Pleural remotor/abductor MN,Pleural remotor/abductor MN_L,front,fl,L,,T1,ProAN,vnc_motor,13628,Pleural remotor/abductor MN,13628.0,800541.0,,,Traced,Reviewed,T1L,thorax-coxa,coxa_posterior_and_lateral_movement,Azevedo 2024 Appendix A1 p2; A4 pp18-19,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Pleural remotor/abductor,1,False
male-cns:v1.0,male-cns:v1.0:813480,813480,Sternal adductor MN,Sternal adductor MN_L,front,fl,L,,T1,ProAN,vnc_motor,155853,Sternal adductor MN,13817.0,,,,Traced,Reviewed,T1L,thorax-coxa,coxa_medial_movement,Azevedo 2024 Appendix A1 p3; A3 p17,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Sternal adductor,1,False
male-cns:v1.0,male-cns:v1.0:806923,806923,Sternal anterior rotator MN,Sternal anterior rotator MN_L,front,fl,L,,T1,VProN,vnc_motor,26566,Sternal anterior rotator MN,,,,,Traced,Reviewed,T1L,thorax-coxa,coxa_anterior_movement,Azevedo 2024 Appendix A1 p3; A3 p17,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Sternal anterior rotator,1,False
male-cns:v1.0,male-cns:v1.0:919509,919509,Sternal anterior rotator MN,Sternal anterior rotator MN_L,front,fl,L,,T1,VProN,vnc_motor,17176,Sternal anterior rotator MN,,,,,Traced,Reviewed,T1L,thorax-coxa,coxa_anterior_movement,Azevedo 2024 Appendix A1 p3; A3 p17,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Sternal anterior rotator,1,False
male-cns:v1.0,male-cns:v1.0:801915,801915,Sternal posterior rotator MN,Sternal posterior rotator MN_L,front,fl,L,,T1,ProAN,vnc_motor,19667,Sternal posterior rotator MN,11400.0,800962.0,,,Traced,Reviewed,T1L,thorax-coxa,coxa_posterior_movement_or_axial_rotation,Azevedo 2024 Appendix A1 p3; A4 pp18-19,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Sternal posterior rotator,1,False
male-cns:v1.0,male-cns:v1.0:804851,804851,Sternal posterior rotator MN,Sternal posterior rotator MN_L,front,fl,L,,T1,ProAN,vnc_motor,17546,Sternal posterior rotator MN,11529.0,804851.0,,,Traced,Reviewed,T1L,thorax-coxa,coxa_posterior_movement_or_axial_rotation,Azevedo 2024 Appendix A1 p3; A4 pp18-19,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,,0,False
