direction,target_bodyId,target_type,observation_source,threshold,edge_count,weight,weightHP,weightHR,weight_fraction_of_t1,all_relationship_edges,excluded_missing_weight_edges,excluded_below1_edges
incoming,188093,"SApp06,SApp15",additional,10,5,91,88,91,0.47150259067357514,52,0,0
incoming,230783,DNg97,additional,1,1501,17959,16340,17959,1.0,1501,0,0
incoming,230783,DNg97,additional,3,621,16888,15387,16888,0.9403641628153016,1501,0,0
incoming,230783,DNg97,additional,5,477,16409,14959,16409,0.9136922991257865,1501,0,0
incoming,230783,DNg97,additional,10,320,15397,14068,15397,0.8573417228130742,1501,0,0
incoming,522975,ANXXX006,additional,1,799,4825,4291,4825,1.0,799,0,0
incoming,522975,ANXXX006,additional,3,242,4149,3700,4149,0.8598963730569948,799,0,0
incoming,522975,ANXXX006,additional,5,161,3874,3457,3874,0.8029015544041451,799,0,0
incoming,522975,ANXXX006,additional,10,106,3510,3137,3510,0.7274611398963731,799,0,0
incoming,523769,DNa02,additional,1,1627,24527,22594,24527,1.0,1627,0,0
incoming,523769,DNa02,additional,3,721,23429,21645,23429,0.9552330085212215,1627,0,0
incoming,523769,DNa02,additional,5,559,22885,21164,22885,0.9330533697557793,1627,0,0
incoming,523769,DNa02,additional,10,387,21749,20151,21749,0.8867370652750031,1627,0,0
incoming,800099,DNge079,additional,1,1348,13208,11658,13208,1.0,1348,0,0
incoming,800099,DNge079,additional,3,452,12087,10741,12087,0.9151271956390067,1348,0,0
incoming,800099,DNge079,additional,5,312,11613,10338,11613,0.8792398546335555,1348,0,0
incoming,800099,DNge079,additional,10,195,10836,9681,10836,0.8204118715929739,1348,0,0
incoming,800347,IN21A001,additional,1,596,4921,4340,4921,1.0,596,0,0
incoming,800347,IN21A001,additional,3,206,4447,3930,4447,0.90367811420443,596,0,0
incoming,800347,IN21A001,additional,5,137,4214,3745,4214,0.8563300142247511,596,0,0
incoming,800347,IN21A001,additional,10,91,3908,3491,3908,0.7941475309896363,596,0,0
incoming,800452,IN19A016,additional,1,622,6373,5747,6373,1.0,622,0,0
incoming,800452,IN19A016,additional,3,308,5981,5410,5981,0.9384905068256708,622,0,0
incoming,800452,IN19A016,additional,5,222,5691,5165,5691,0.8929860348344578,622,0,0
incoming,800452,IN19A016,additional,10,140,5136,4671,5136,0.8058998901616193,622,0,0
incoming,800461,IN19A003,additional,1,1007,13756,12384,13756,1.0,1007,0,0
incoming,800461,IN19A003,additional,3,437,13040,11760,13040,0.9479499854608898,1007,0,0
incoming,800461,IN19A003,additional,5,326,12664,11443,12664,0.9206164582727537,1007,0,0
incoming,800461,IN19A003,additional,10,219,11957,10813,11957,0.869220703692934,1007,0,0
incoming,800527,IN19A005,additional,1,1054,9805,8778,9805,1.0,1054,0,0
incoming,800527,IN19A005,additional,3,423,9019,8104,9019,0.9198368179500255,1054,0,0
incoming,800527,IN19A005,additional,5,287,8556,7709,8556,0.8726160122386537,1054,0,0
incoming,800527,IN19A005,additional,10,195,7952,7177,7952,0.8110147883732789,1054,0,0
incoming,800596,IN19A003,additional,1,959,11267,10026,11267,1.0,959,0,0
incoming,800596,IN19A003,additional,3,405,10594,9446,10594,0.9402680394071181,959,0,0
incoming,800596,IN19A003,additional,5,298,10233,9145,10233,0.9082275672317387,959,0,0
incoming,800596,IN19A003,additional,10,189,9496,8498,9496,0.8428153013224461,959,0,0
incoming,800622,IN19A003,additional,1,949,11492,10257,11492,1.0,949,0,0
incoming,800622,IN19A003,additional,3,383,10801,9670,10801,0.9398712147580925,949,0,0
incoming,800622,IN19A003,additional,5,277,10436,9352,10436,0.9081099895579534,949,0,0
incoming,800622,IN19A003,additional,10,188,9860,8850,9860,0.8579881656804734,949,0,0
incoming,800650,IN21A001,additional,1,943,8976,7770,8976,1.0,943,0,0
incoming,800650,IN21A001,additional,3,382,8276,7180,8276,0.9220142602495544,943,0,0
incoming,800650,IN21A001,additional,5,258,7859,6837,7859,0.8755570409982175,943,0,0
incoming,800650,IN21A001,additional,10,173,7309,6388,7309,0.8142825311942959,943,0,0
incoming,800687,IN19A003,previous_six,1,884,11154,10037,11154,1.0,884,0,0
incoming,800687,IN19A003,previous_six,3,393,10548,9525,10548,0.9456697149004841,884,0,0
incoming,800687,IN19A003,previous_six,5,275,10155,9184,10155,0.9104357181280258,884,0,0
incoming,800687,IN19A003,previous_six,10,189,9599,8696,9599,0.8605881298188991,884,0,0
incoming,800736,IN03A010,previous_six,1,379,3806,3312,3806,1.0,379,0,0
incoming,800736,IN03A010,previous_six,3,159,3534,3105,3534,0.928533893851813,379,0,0
incoming,800736,IN03A010,previous_six,5,114,3381,2982,3381,0.8883342091434577,379,0,0
incoming,800736,IN03A010,previous_six,10,70,3087,2727,3087,0.8110877561744614,379,0,0
incoming,800892,IN06B013,additional,1,1088,8707,8039,8707,1.0,1088,0,0
incoming,800892,IN06B013,additional,3,443,7894,7327,7894,0.9066268519581946,1088,0,0
incoming,800892,IN06B013,additional,5,313,7455,6933,7455,0.8562076490180315,1088,0,0
incoming,800892,IN06B013,additional,10,193,6665,6212,6665,0.7654760537498564,1088,0,0
incoming,801214,LBL40,additional,1,444,5045,4474,5045,1.0,444,0,0
incoming,801214,LBL40,additional,3,160,4706,4199,4706,0.932804757185332,444,0,0
incoming,801214,LBL40,additional,5,114,4548,4061,4548,0.9014866204162537,444,0,0
incoming,801214,LBL40,additional,10,75,4283,3828,4283,0.8489593657086224,444,0,0
incoming,801246,LBL40,additional,1,533,5604,5030,5604,1.0,533,0,0
incoming,801246,LBL40,additional,3,197,5189,4686,5189,0.9259457530335474,533,0,0
incoming,801246,LBL40,additional,5,140,4995,4521,4995,0.8913276231263383,533,0,0
incoming,801246,LBL40,additional,10,89,4646,4197,4646,0.8290506780870807,533,0,0
incoming,801526,IN19A022,additional,1,980,7391,6617,7391,1.0,980,0,0
incoming,801526,IN19A022,additional,3,390,6649,5974,6649,0.8996076309024489,980,0,0
incoming,801526,IN19A022,additional,5,263,6216,5598,6216,0.841022865647409,980,0,0
incoming,801526,IN19A022,additional,10,153,5487,4945,5487,0.7423893925043973,980,0,0
incoming,801747,IN19A013,previous_six,1,657,5088,4322,5088,1.0,657,0,0
incoming,801747,IN19A013,previous_six,3,279,4618,3949,4618,0.907625786163522,657,0,0
incoming,801747,IN19A013,previous_six,5,203,4369,3747,4369,0.858687106918239,657,0,0
incoming,801747,IN19A013,previous_six,10,123,3835,3313,3835,0.7537342767295597,657,0,0
incoming,803658,IN17A039,additional,1,654,4674,4172,4674,1.0,654,0,0
incoming,803658,IN17A039,additional,3,319,4246,3797,4246,0.9084296106118956,654,0,0
incoming,803658,IN17A039,additional,5,218,3899,3489,3899,0.8341891313649978,654,0,0
incoming,803658,IN17A039,additional,10,127,3279,2937,3279,0.7015404364569962,654,0,0
incoming,804975,SNpp45,additional,1,130,322,292,322,1.0,130,0,0
incoming,804975,SNpp45,additional,3,28,195,175,195,0.6055900621118012,130,0,0
incoming,804975,SNpp45,additional,5,10,137,124,137,0.4254658385093168,130,0,0
incoming,804975,SNpp45,additional,10,5,109,99,109,0.3385093167701863,130,0,0
incoming,805054,IN03A024,previous_six,1,342,1354,1168,1354,1.0,342,0,0
incoming,805054,IN03A024,previous_six,3,106,1076,937,1076,0.794682422451994,342,0,0
incoming,805054,IN03A024,previous_six,5,70,954,836,954,0.7045790251107829,342,0,0
incoming,805054,IN03A024,previous_six,10,41,764,672,764,0.5642540620384048,342,0,0
incoming,805405,IN17A033,additional,1,474,2722,2306,2722,1.0,474,0,0
incoming,805405,IN17A033,additional,3,200,2376,2025,2376,0.8728875826598089,474,0,0
incoming,805405,IN17A033,additional,5,144,2191,1866,2191,0.804922850844967,474,0,0
incoming,805405,IN17A033,additional,10,85,1811,1545,1811,0.6653196179279941,474,0,0
incoming,902427,IN19A013,additional,1,800,6943,5987,6943,1.0,800,0,0
