subject,heading_early_R,heading_late_R,cue_proxy_early_R,cue_proxy_late_R,heading_change,cue_proxy_change,difference_change
sub-16_gain,0.41520675861759954,0.700663722052369,0.30481305849277207,0.25271677501180223,0.2854569634347695,-0.05209628348096984,0.33755324691573935
sub-17_gain,0.1809667438104891,0.8565192004787017,0.3803227104226283,0.1966144158822765,0.6755524566682125,-0.18370829454035179,0.8592607512085643
sub-18_gain,0.5679226146075357,0.6483685535291157,0.3656367529754107,0.2587673122526627,0.08044593892158003,-0.10686944072274801,0.18731537964432804
sub-19_gain,0.10057592568851559,0.26948488725572123,0.8949444135717806,0.8019804675983288,0.16890896156720564,-0.09296394597345181,0.26187290754065745
sub-20_gain,0.40728693603186683,0.41684162259142316,0.05427684965719224,0.28667481353812935,0.009554686559556325,0.23239796388093711,-0.2228432773213808
sub-21_gain,0.28715977996964986,0.6167956042588564,0.7874012544297198,0.19682861256776293,0.3296358242892065,-0.5905726418619568,0.9202084661511634
sub-22_gain,0.7641376500406394,0.647147452583313,0.5185711720668408,0.43608904840977597,-0.11699019745732642,-0.08248212365706481,-0.03450807380026161
sub-23_gain,0.25903397161335034,0.7503413142092905,0.5879116443409417,0.18340124462287086,0.49130734259594017,-0.4045103997180708,0.895817742314011
sub-24_gain,0.34315375820316263,0.4648221224791618,0.7802571466875097,0.7340656440030399,0.1216683642759992,-0.04619150268446981,0.167859866960469
sub-25_gain,0.2822671612507907,0.3444358899585349,0.7955371697262901,0.8125206139480411,0.0621687287077442,0.01698344422175102,0.04518528448599318
sub-26_gain,0.12377150129617456,0.28232178393122936,0.6680998897981986,0.5515732597588622,0.1585502826350548,-0.11652663003933639,0.27507691267439116
sub-27_gain,0.4934922503552604,0.4513811814718513,0.7792747467739035,0.6769283085042214,-0.0421110688834091,-0.10234643826968215,0.06023536938627305
sub-28_gain,0.7332919549479494,0.7809746317717529,0.2042949801816898,0.22146203294522532,0.04768267682380345,0.01716705276353553,0.03051562406026792
sub-29_gain,0.607748840349259,0.8809234258408142,0.43405614061043,0.15068406272247367,0.27317458549155516,-0.2833720778879564,0.5565466633795115
